product_id,product_description,category,standard_price
1,Wireless Monitor,Monitors,213.06
2,Ultra Webcam,Keyboards,141.1
3,Lite Monitor,Monitors,132.08
4,Gaming Monitor,Monitors,348.77
5,Gaming Monitor,Monitors,279.42
6,Professional Laptop,Laptops,1382.93
7,Lite Hub,Keyboards,71.68
8,Pro Monitor,Mice,24.74
9,Portable Monitor,Monitors,220.52
10,Ultra Laptop,Laptops,1575.8
11,Wireless SSD,Storage,298.82
12,Ergonomic SSD,Storage,261.37
13,Ultra Laptop,Laptops,1469.79
14,4K Monitor,Monitors,361.56
15,Compact Hub,Networking,180.79
16,Ultra Switch,Accessories,132.47
17,4K Monitor,Monitors,264.19
18,Pro Monitor,Monitors,440.28
19,Ergonomic Laptop,Laptops,1424.54
20,Ergonomic SSD,Storage,323.94
21,4K SSD,Storage,168.69
22,Compact Laptop,Laptops,921.96
23,Portable Monitor,Monitors,282.8
24,Ergonomic SSD,Storage,349.2
25,Gaming HDD,Keyboards,43.64
26,Compact Laptop,Laptops,1412.87
27,Lite SSD,Storage,164.49
28,Gaming Laptop,Laptops,1474.7
29,Gaming Laptop,Laptops,1375.79
30,Ultra Dock,Networking,207.82
